MEN,ID#,Price$,Color,,,WOMEN,ID#,Price $,Color
New Arrivals,,,New Arrivals
Union Short Sleeve,01,$28.00,8,,,Identity Pro Track Jacket ,101,$72.00,4
Core Cutoff,02,$28.00,6,,,Identity Pro Jogger ,102,$68.00,5
Washed Core Jogger,03,$58.00,2,,,Identity Pro Crop Hoodie ,103,$64.00,6
Identity Pro Track Jacket,04,$74.00,4,,,Identity Lounge Short ,104,$46.00,7
Identity Pro Track Pant,05,$70.00,9,,,Core Short ,105,$44.00,2
Alphalete 3/4 Sleeve,06,$32.00,5,,,Core Jogger ,106,$56.00,9
Identity Pro Hoodie,07,$70.00,8,,,Washed Core Jogger ,107,$58.00,2
Identity Pro Short,08,$56.00,8,,,Signature Short Sleeve ,108,$28.00,6
Core Jogger,09,$56.00,12,,,Signature Long Sleeve ,109,$32.00,7
Washed Core Short,10,$46.00,2,,,Alphalete 3/4 Sleeve ,110,$32.00,5
Core Short,11,$44.00,10,,,Identity Cargo ,111,$78.00,5
Core Striped Jogger,12,$56.00,1,,,Seamless Thong,112,$14.00,14
Core Short Sleeve,13,$28.00,8,,,Voyager Pro ,22,$64.80,3
Core Long Sleeve,14,$32.00,5,,,Alphalete Glute Band ,23,$20.00,6
Identity Cargo,15,$78.00,4,,,Premium Resistance Band ,21,$18.00,1
Identity Jogger,16,$64.00,3,,,Premium Training Band ,20,$22.00,1
Core Boxer Brief,17,$20.00,7,,,Face Mask Single ,18,$8.00,3
Face Mask Single,18,$8.00,3,,,Face Mask 3 Pack ,19,$22.00,3
Face Mask 3 Pack,19,$22.00,3,,,Sports Bras
Premium Training Band,20,$22.00,1,,,Amplify Bra ,113,$52.00,12
Premium Resistance Band,21,$18.00,1,,,Alphalux Harmony Bra ,114,$48.00,6
Voyager Pro,22,$64.80,3,,,Alphalux Supreme Bra ,115,$48.00,5
Alphalete Glute Band,23,$20.00,6,,,Alphalux Alto Bra ,116,$48.00,7
Shirts & Tops,,,Leggings
Union Short Sleeve,01,$28.00,8,,,Alphalux Harmony Legging ,117,$68.00,5
Core Short Sleeve,13,$28.00,8,,,Alphalux Essential Legging ,118,$68.00,5
Core Long Sleeve,14,$32.00,5,,,Amplify Legging,119,$72.00,15
Core Cutoff,02,$28.00,6,,,OG Revival Legging ,120,$31.00,1
Alphalete 3/4 Sleeve,06,$32.00,5,,,Joggers
Premium Viscose Crew Neck Tee,24,$40.00,6,,,Identity Cargo ,111,$78.00,5
Premium Viscose Long Sleeve,25,$44.00,4,,,Identity Pro Jogger ,102,$68.00,5
Lux Short Sleeve Henley,26,$38.00,6,,,Washed Core Jogger ,107,$58.00,2
Bottoms,,,Core Jogger ,106,$56.00,9
Identity Cargo,15,$78.00,4,,,Essential Jogger ,121,$39.20,4
Identity Pro Track Pant,05,$70.00,9,,,Pro-Elite Jogger ,122,$50.40,4
Identity Jogger,16,$64.00,3,,,Shirts & Tops
Washed Core Jogger,03,$58.00,2,,,Signature Short Sleeve ,108,$28.00,6
Identity Pro Short,08,$56.00,8,,,Signature Long Sleeve ,109,$32.00,7
Core Jogger,09,$56.00,12,,,Alphalete 3/4 Sleeve ,110,$32.00,5
Core Striped Jogger,12,$56.00,1,,,Ultrasoft Crop Tank ,123,$34.00,5
Pro-Elite Jogger,27,$50.40,8,,,UltraSoft Crop Top Long ,124,$36.00,3
Washed Core Short,10,$46.00,2,,,Aspire Signature Tie Crop ,125,$36.00,5
Core Short,11,$44.00,10,,,Premium Viscose V-Neck Tee ,126,$38.00,3
Essential Jogger ,28,$39.20,9,,,Premium Viscose Hi-Low Crop ,127,$36.00,3
Core Boxer Brief ,17,$20.00,7,,,PBNS Oversized Long Sleeve Crop ,128,$19.20,4
Premium Boxer Brief,29,$20.00,16,,,Legacy Oversized Long Sleeve Crop ,129,$22.40,4
Collective Training Legging ,30,$18.90,2,,,Signature Fitted Crop ,130,$21.00,3
Tanks & Stringers,,,LBD-More Fitted Crop ,131,$16.80,5
Core Cutoff ,02,$28.00,6,,,Proud-Never Satisfied Crop ,132,$16.80,5
Rhapsody Retro Cutoff ,31,$32.00,9,,,Amplify Long Sleeve Crop ,133,$46.00,9
Lux Sleeveless Tee ,32,$34.00,6,,,Amplify Crop Top ,134,$40.00,5
Aspire Union Cutoff ,33,$34.00,5,,,Seamless Short Sleeve Crop ,135,$20.00,1
Proud-Never Satisfied Cutoff ,34,$16.80,5,,,Monarch Bodysuit ,136,$32.00,8
Global Impact Performance Cutoff ,35,$16.80,1,,,Hoodies & Jackets
Legacy Performance Cutoff ,36,$16.80,2,,,Identity Pro Crop Hoodie ,103,$64.00,6
Proud-Never Satisfied Stringer ,37,$16.80,4,,,Identity Pro Track Jacket ,101,$72.00,4
Hoodies & Jackets,,,Amplify Jacket ,137,$68.00,10
Identity Pro Hoodie ,07,$70.00,8,,,Pro-Elite Zip Jacket ,138,$46.80,4
Identity Pro Track Jacket ,04,$74.00,4,,,Shorts
Pro-Elite Zip Jacket ,38,$46.80,3,,,Core Short ,105,$44.00,2
Pro-Elite 1/4 Zip Pullover ,39,$44.40,1,,,Amplify Biker Short,139,$56.00,16
Underwear,,,Identity Lounge Short ,104,$46.00,7
Core Boxer Brief ,17,$20.00,7,,,Active Short ,140,$46.00,2
Premium Boxer Brief,29,$20.00,16,,,Alphalux Harmony Biker ,141,$54.00,5
Accessories,,,Amplify Short,142,$52.00,18
Face Mask Single ,18,$8.00,3,,,Alphalux Harmony Short ,143,$50.00,5
Face Mask 3 Pack ,19,$22.00,3,,,Seamless Biker Short ,144,$26.00,2
Premium Training Band ,20,$22.00,1,,,Underwear
Premium Resistance Band ,21,$18.00,1,,,Seamless Thong,112,$14.00,14
Alphalete Glute Band ,23,$20.00,6,,,Accessories
Dad Hat PBNS ,40,$28.00,5,,,Face Mask Single ,18,$8.00,3
Fleece Lined Identity Beanie ,41,$28.00,3,,,Face Mask 3 Pack ,19,$22.00,3
Voyager Pro ,22,$64.80,3,,,Premium Training Band ,20,$22.00,1
Surface Headband ,42,$6.00,8,,,Premium Resistance Band ,21,$18.00,1
Last Chance,,,Alphalete Glute Band ,23,$20.00,6
Pro-Elite Jogger ,27,$50.40,8,,,Dad Hat PBNS ,40,$28.00,5
Pro-Elite Zip Jacket ,38,$46.80,3,,,Fleece Lined Identity Beanie ,41,$28.00,3
Pro-Elite 1/4 Zip Pullover ,39,$44.40,1,,,Voyager Pro ,22,$64.80,3
